SLOC-P,SLOC-L,Characters,Statments,i_iterator,NoOfTabs,NoOfSpaces,AverageLineLength(C),AverageWordLineLength(W),Comments,TotalWords,Total Methods,EL/NEL,Tab/Char,Space/Char,EL/Chars,UpperCase%,Char/Words,Space/SLOC-P,Statments/SLOC-L,words/SLOC-L,Words/Statments,Author,File Path,Long ParameterSmell,Long Method Smell,Large Class Smell,Lazy Class Smell,Feature Envy Smell, Data Class Smell,Switch Statments Smell
28.0,28.0,518.0,21,0,0,140.0,18.0,5.0,0,163.0,0,0.0,0.0,0.2702702702702703,0.0,4.25,3.18,5.0,0.0,5.82,7.76,,C:\\Users\\Saad\\Documents\\NetBeansProjects\\Tool\\src\\com\\tool\\csv\\abcd.java,NO,NO,0,yes,NO,NO,NO
46.0,42.0,912.0,15,0,0,203.0,19.0,5.0,8,239.0,4,0.09,0.0,0.2225877192982456,0.0043859649122807015,5.15,3.82,4.41,0.19,5.69,15.93,Madiha,C:\\Users\\Saad\\Documents\\NetBeansProjects\\Tool\\src\\com\\tool\\csv\\AST_declaration.java,NO,NO,0,yes,NO,NO,NO
177.0,161.0,8588.0,63,3,0,1851.0,48.0,11.0,34,2011.0,7,0.09,0.0,0.2155333022822543,0.0018630647414997672,11.1,4.27,10.46,0.21,12.49,31.92,Saad,C:\\Users\\Saad\\Documents\\NetBeansProjects\\Tool\\src\\com\\tool\\csv\\CodeMetrics.java,NO,NO,0,NO,NO,NO,NO
399.0,375.0,17791.0,168,2,0,4998.0,44.0,13.0,42,5354.0,11,0.06,0.0,0.28092855938395817,0.0013489966837164859,9.67,3.32,12.53,0.11,14.28,31.87,Bilal,C:\\Users\\Saad\\Documents\\NetBeansProjects\\Tool\\src\\com\\tool\\csv\\CodeView.java,NO,yes\Medium,yes\Medium,NO,NO,NO,NO
150.0,147.0,4389.0,86,0,0,2024.0,29.0,14.0,23,2153.0,2,0.02,0.0,0.46115288220551376,6.83526999316473E-4,2.16,2.04,13.49,0.16,14.65,25.03,Waseem,C:\\Users\\Saad\\Documents\\NetBeansProjects\\Tool\\src\\com\\tool\\csv\\Comments_HC.java,NO,NO,0,yes,NO,NO,NO
26.0,24.0,489.0,7,0,0,95.0,18.0,4.0,8,118.0,2,0.08,0.0,0.19427402862985685,0.00408997955010225,4.09,4.14,3.65,0.33,4.92,16.86,Bilal,C:\\Users\\Saad\\Documents\\NetBeansProjects\\Tool\\src\\com\\tool\\csv\\CountAssignmentStatement.java,NO,NO,0,yes,NO,NO,NO
28.0,26.0,493.0,7,0,0,113.0,17.0,4.0,8,136.0,2,0.07,0.0,0.22920892494929007,0.004056795131845842,4.06,3.63,4.04,0.31,5.23,19.43,Bilal,C:\\Users\\Saad\\Documents\\NetBeansProjects\\Tool\\src\\com\\tool\\csv\\CountClassStatements.java,NO,NO,0,yes,NO,NO,NO
28.0,26.0,477.0,7,0,0,106.0,17.0,4.0,8,129.0,2,0.07,0.0,0.2222222222222222,0.0041928721174004195,3.98,3.7,3.79,0.31,4.96,18.43,Bilal,C:\\Users\\Saad\\Documents\\NetBeansProjects\\Tool\\src\\com\\tool\\csv\\CountConditions.java,NO,NO,0,yes,NO,NO,NO
29.0,27.0,470.0,7,0,0,107.0,16.0,4.0,8,130.0,2,0.07,0.0,0.2276595744680851,0.00425531914893617,5.11,3.62,3.69,0.3,4.81,18.57,Bilal,C:\\Users\\Saad\\Documents\\NetBeansProjects\\Tool\\src\\com\\tool\\csv\\CountDoWhile.java,NO,NO,0,yes,NO,NO,NO
28.0,26.0,472.0,7,0,0,103.0,16.0,4.0,8,126.0,2,0.07,0.0,0.21822033898305085,0.00423728813559322,4.87,3.75,3.68,0.31,4.85,18.0,Bilal,C:\\Users\\Saad\\Documents\\NetBeansProjects\\Tool\\src\\com\\tool\\csv\\CountFor.java,NO,NO,0,yes,NO,NO,NO
58.0,56.0,1132.0,16,0,0,397.0,19.0,7.0,9,445.0,5,0.03,0.0,0.3507067137809187,0.0017667844522968198,4.24,2.54,6.84,0.16,7.95,27.81,Bilal,C:\\Users\\Saad\\Documents\\NetBeansProjects\\Tool\\src\\com\\tool\\csv\\CountIf.java,NO,NO,0,yes,NO,NO,NO
30.0,28.0,615.0,10,0,0,109.0,20.0,4.0,8,135.0,2,0.07,0.0,0.1772357723577236,0.0032520325203252032,4.23,4.56,3.63,0.29,4.82,13.5,Bilal,C:\\Users\\Saad\\Documents\\NetBeansProjects\\Tool\\src\\com\\tool\\csv\\CountStatements.java,NO,NO,0,yes,NO,NO,NO
