SLOC-P,SLOC-L,Characters,Statments,i_iterator,NoOfTabs,NoOfSpaces,AverageLineLength(C),AverageWordLineLength(W),Comments,TotalWords,EL/NEL,Tab/Char,Space/Char,EL/Chars,UpperCase%,Char/Words,Space/SLOC-P,Statments/SLOC-L,words/SLOC-L,Words/Statments,Author,File Path
30.0,28.0,350.0,15,0,0,25.0,11.0,4.0,9,146.0,0.07,0.0,0.07142857142857142,0.005714285714285714,2.57,2.4,0.83,0.32,5.21,9.73,Saad,C:\\Users\\Saad\\Documents\\NetBeansProjects\\Tool\\src\\com\\tool\\csv\\abcd.java,
46.0,42.0,1052.0,15,0,0,39.0,22.0,7.0,8,361.0,0.09,0.0,0.0370722433460076,0.0038022813688212928,4.47,2.91,0.85,0.19,8.6,24.07,Madiha,C:\\Users\\Saad\\Documents\\NetBeansProjects\\Tool\\src\\com\\tool\\csv\\AST_declaration.java,
177.0,161.0,7634.0,54,3,0,158.0,43.0,13.0,34,2384.0,0.09,0.0,0.02069688236835211,0.002095886822111606,12.48,3.2,0.89,0.21,14.81,44.15,Saad,C:\\Users\\Saad\\Documents\\NetBeansProjects\\Tool\\src\\com\\tool\\csv\\CodeMetrics.java,
390.0,366.0,20208.0,157,4,0,362.0,51.0,18.0,42,7393.0,0.06,0.0,0.017913697545526523,0.0011876484560570072,8.42,2.73,0.93,0.11,20.2,47.09,Bilal,C:\\Users\\Saad\\Documents\\NetBeansProjects\\Tool\\src\\com\\tool\\csv\\CodeView.java,
150.0,147.0,22669.0,82,0,0,144.0,151.0,62.0,23,9325.0,0.02,0.0,0.006352287264546297,1.3233931801138118E-4,0.42,2.43,0.96,0.16,63.44,113.72,Waseem,C:\\Users\\Saad\\Documents\\NetBeansProjects\\Tool\\src\\com\\tool\\csv\\Comments_HC.java,
26.0,24.0,23045.0,7,0,0,21.0,886.0,363.0,8,9441.0,0.08,0.0,9.112605771316989E-4,8.678672163159037E-5,0.09,2.44,0.81,0.33,393.38,1348.71,Bilal,C:\\Users\\Saad\\Documents\\NetBeansProjects\\Tool\\src\\com\\tool\\csv\\CountAssignmentStatement.java,
28.0,26.0,23415.0,7,0,0,23.0,836.0,341.0,8,9567.0,0.07,0.0,9.822763185991885E-4,8.541533205210335E-5,0.09,2.45,0.82,0.31,367.96,1366.71,Bilal,C:\\Users\\Saad\\Documents\\NetBeansProjects\\Tool\\src\\com\\tool\\csv\\CountClassStatements.java,
28.0,26.0,23780.0,7,0,0,23.0,849.0,345.0,8,9682.0,0.07,0.0,9.671993271656855E-4,8.410428931875525E-5,0.08,2.46,0.82,0.31,372.38,1383.14,Bilal,C:\\Users\\Saad\\Documents\\NetBeansProjects\\Tool\\src\\com\\tool\\csv\\CountConditions.java,
29.0,27.0,24137.0,7,0,0,24.0,832.0,337.0,8,9798.0,0.07,0.0,9.94324066785433E-4,8.28603388987861E-5,0.1,2.46,0.83,0.3,362.89,1399.71,Bilal,C:\\Users\\Saad\\Documents\\NetBeansProjects\\Tool\\src\\com\\tool\\csv\\CountDoWhile.java,
28.0,26.0,24496.0,7,0,0,23.0,874.0,354.0,8,9914.0,0.07,0.0,9.389288047028086E-4,8.164598301763554E-5,0.09,2.47,0.82,0.31,381.31,1416.29,Bilal,C:\\Users\\Saad\\Documents\\NetBeansProjects\\Tool\\src\\com\\tool\\csv\\CountFor.java,
