SLOC-P,SLOC-L,Characters,Statments,i_iterator,NoOfTabs,NoOfSpaces,AverageLineLength(C),AverageWordLineLength(W),Comments,TotalWords,EL/NEL,Tab/Char,Space/Char,EL/Chars,UpperCase%,Char/Words,Space/SLOC-P,Statments/SLOC-L,words/SLOC-L,Words/Statments,Author,File Path
30.0,28.0,439583.0,15,0,0,25.0,14652.0,5699.0,9,170996.0,0.07,0.0,5.68720810404406E-5,4.549766483235248E-6,0.0,2.57,0.83,0.32,6107.0,11399.73,Saad,C:\\Users\\Saad\\Documents\\NetBeansProjects\\Tool\\src\\com\\tool\\csv\\abcd.java,
46.0,42.0,440285.0,15,0,0,39.0,9571.0,3721.0,8,171211.0,0.09,0.0,8.857898860965057E-5,9.085024472784673E-6,0.01,2.57,0.85,0.19,4076.45,11414.07,Madiha,C:\\Users\\Saad\\Documents\\NetBeansProjects\\Tool\\src\\com\\tool\\csv\\AST_declaration.java,
177.0,161.0,446867.0,54,3,0,158.0,2524.0,978.0,34,173234.0,0.09,0.0,3.5357276326065696E-4,3.5804836785889317E-5,0.21,2.58,0.89,0.21,1075.99,3208.04,Saad,C:\\Users\\Saad\\Documents\\NetBeansProjects\\Tool\\src\\com\\tool\\csv\\CodeMetrics.java,
390.0,366.0,459441.0,157,4,0,362.0,1178.0,457.0,42,178243.0,0.06,0.0,7.879140085451669E-4,5.223739283172377E-5,0.37,2.58,0.93,0.11,487.0,1135.31,Bilal,C:\\Users\\Saad\\Documents\\NetBeansProjects\\Tool\\src\\com\\tool\\csv\\CodeView.java,
150.0,147.0,461902.0,82,0,0,144.0,3079.0,1201.0,23,180175.0,0.02,0.0,3.1175444141830954E-4,6.494884196214781E-6,0.02,2.56,0.96,0.16,1225.68,2197.26,Waseem,C:\\Users\\Saad\\Documents\\NetBeansProjects\\Tool\\src\\com\\tool\\csv\\Comments_HC.java,
26.0,24.0,462278.0,7,0,0,21.0,17779.0,6934.0,8,180291.0,0.08,0.0,4.542721046642929E-5,4.3264009968027895E-6,0.0,2.56,0.81,0.33,7512.13,25755.86,Bilal,C:\\Users\\Saad\\Documents\\NetBeansProjects\\Tool\\src\\com\\tool\\csv\\CountAssignmentStatement.java,
28.0,26.0,462648.0,7,0,0,23.0,16523.0,6443.0,8,180417.0,0.07,0.0,4.9713821306911515E-5,4.322940983209697E-6,0.0,2.56,0.82,0.31,6939.12,25773.86,Bilal,C:\\Users\\Saad\\Documents\\NetBeansProjects\\Tool\\src\\com\\tool\\csv\\CountClassStatements.java,
28.0,26.0,463013.0,7,0,0,23.0,16536.0,6447.0,8,180532.0,0.07,0.0,4.967463116586359E-5,4.319533144857704E-6,0.0,2.56,0.82,0.31,6943.54,25790.29,Bilal,C:\\Users\\Saad\\Documents\\NetBeansProjects\\Tool\\src\\com\\tool\\csv\\CountConditions.java,
29.0,27.0,463370.0,7,0,0,24.0,15978.0,6229.0,8,180648.0,0.07,0.0,5.179446230873816E-5,4.316205192394847E-6,0.01,2.57,0.83,0.3,6690.67,25806.86,Bilal,C:\\Users\\Saad\\Documents\\NetBeansProjects\\Tool\\src\\com\\tool\\csv\\CountDoWhile.java,
28.0,26.0,463729.0,7,0,0,23.0,16561.0,6455.0,8,180764.0,0.07,0.0,4.959793327568472E-5,4.312863763103019E-6,0.0,2.57,0.82,0.31,6952.46,25823.43,Bilal,C:\\Users\\Saad\\Documents\\NetBeansProjects\\Tool\\src\\com\\tool\\csv\\CountFor.java,
58.0,56.0,464474.0,15,0,0,53.0,8008.0,3123.0,9,181154.0,0.03,0.0,1.1410757114499412E-4,4.305946080943175E-6,0.01,2.56,0.91,0.16,3234.89,12076.93,Bilal,C:\\Users\\Saad\\Documents\\NetBeansProjects\\Tool\\src\\com\\tool\\csv\\CountIf.java,
30.0,28.0,464963.0,10,0,0,25.0,15498.0,6042.0,8,181283.0,0.07,0.0,5.3767719151846494E-5,4.30141753214772E-6,0.01,2.56,0.83,0.29,6474.39,18128.3,Bilal,C:\\Users\\Saad\\Documents\\NetBeansProjects\\Tool\\src\\com\\tool\\csv\\CountStatements.java,
33.0,31.0,465464.0,11,0,0,28.0,14104.0,5498.0,8,181441.0,0.06,0.0,6.01550281009917E-5,4.296787721499407E-6,0.01,2.57,0.85,0.26,5852.94,16494.64,Bilal,C:\\Users\\Saad\\Documents\\NetBeansProjects\\Tool\\src\\com\\tool\\csv\\CountSwitch.java,
27.0,25.0,465834.0,7,0,0,22.0,17253.0,6724.0,8,181559.0,0.07,0.0,4.7227123825225295E-5,4.293374893202299E-6,0.01,2.57,0.81,0.32,7262.36,25937.0,Madiha,C:\\Users\\Saad\\Documents\\NetBeansProjects\\Tool\\src\\com\\tool\\csv\\CountSwitchCases.java,
47.0,45.0,466735.0,18,0,0,42.0,9930.0,3868.0,8,181824.0,0.04,0.0,8.99868233580083E-5,4.285086826571824E-6,0.02,2.57,0.89,0.18,4040.53,10101.33,Madiha,C:\\Users\\Saad\\Documents\\NetBeansProjects\\Tool\\src\\com\\tool\\csv\\CountSwitchStatement.java,
29.0,27.0,467108.0,7,0,0,24.0,16107.0,6273.0,8,181940.0,0.07,0.0,5.137998064687396E-5,4.281665053906163E-6,0.0,2.57,0.83,0.3,6738.52,25991.43,Bilal,C:\\Users\\Saad\\Documents\\NetBeansProjects\\Tool\\src\\com\\tool\\csv\\CountWhile.java,
44.0,39.0,468546.0,12,0,0,38.0,10648.0,4146.0,14,182427.0,0.11,0.0,8.110196224063379E-5,1.0671310821136026E-5,0.03,2.57,0.86,0.36,4677.62,15202.25,,C:\\Users\\Saad\\Documents\\NetBeansProjects\\Tool\\src\\com\\tool\\csv\\CSVTool.java,
752.0,676.0,499411.0,256,0,0,673.0,664.0,254.0,100,191465.0,0.1,0.0,0.001347587458025554,1.521792671767342E-4,0.91,2.61,0.89,0.15,283.23,747.91,Bilal,C:\\Users\\Saad\\Documents\\NetBeansProjects\\Tool\\src\\com\\tool\\csv\\FeatureEnvy_Threshold.java,
129.0,126.0,502208.0,72,1,0,123.0,3893.0,1494.0,11,192792.0,0.02,0.0,2.4491844016821714E-4,5.973620491907735E-6,0.03,2.6,0.95,0.09,1530.1,2677.67,Waseem,C:\\Users\\Saad\\Documents\\NetBeansProjects\\Tool\\src\\com\\tool\\csv\\F_Envy.java,
58.0,54.0,503376.0,20,1,0,52.0,8678.0,3331.0,9,193210.0,0.07,0.0,1.0330250150980579E-4,7.946346269985062E-6,0.01,2.61,0.9,0.17,3577.96,9660.5,Waseem,C:\\Users\\Saad\\Documents\\NetBeansProjects\\Tool\\src\\com\\tool\\csv\\Instance_creation.java,
43.0,41.0,504077.0,15,0,0,38.0,11722.0,4498.0,8,193445.0,0.05,0.0,7.538530819696197E-5,3.9676477998401036E-6,0.01,2.61,0.88,0.2,4718.17,12896.33,Bilal,C:\\Users\\Saad\\Documents\\NetBeansProjects\\Tool\\src\\com\\tool\\csv\\LargeClassMethods.java,
757.0,681.0,535102.0,258,0,0,678.0,706.0,267.0,100,202572.0,0.1,0.0,0.0012670481515673648,1.4202899634088454E-4,0.85,2.64,0.9,0.15,297.46,785.16,Bilal,C:\\Users\\Saad\\Documents\\NetBeansProjects\\Tool\\src\\com\\tool\\csv\\LargeClassThreshold.java,
57.0,55.0,536548.0,25,0,0,52.0,9413.0,3561.0,14,203008.0,0.04,0.0,9.691583977575165E-5,3.7275322990673716E-6,0.02,2.64,0.91,0.25,3691.05,8120.32,Bilal,C:\\Users\\Saad\\Documents\\NetBeansProjects\\Tool\\src\\com\\tool\\csv\\LazyClassSmellDetector.java,
315.0,284.0,549088.0,103,0,0,281.0,1743.0,656.0,56,206643.0,0.1,0.0,5.117576781863745E-4,5.645725275365697E-5,0.35,2.66,0.89,0.2,727.62,2006.24,Bilal,C:\\Users\\Saad\\Documents\\NetBeansProjects\\Tool\\src\\com\\tool\\csv\\LazyClassThreshold.java,
61.0,58.0,550129.0,22,0,0,55.0,9018.0,3393.0,8,207024.0,0.05,0.0,9.997655095441251E-5,5.4532664156952275E-6,0.01,2.66,0.9,0.14,3569.38,9410.18,Madiha,C:\\Users\\Saad\\Documents\\NetBeansProjects\\Tool\\src\\com\\tool\\csv\\LongMethodBlock.java,
110.0,107.0,552117.0,48,0,0,104.0,5019.0,1889.0,9,207836.0,0.03,0.0,1.8836587172646376E-4,5.433630915186455E-6,0.02,2.66,0.95,0.08,1942.39,4329.92,Madiha,C:\\Users\\Saad\\Documents\\NetBeansProjects\\Tool\\src\\com\\tool\\csv\\LongMethodMethodDeclaration.java,
57.0,53.0,553362.0,22,0,0,50.0,9708.0,3652.0,8,208207.0,0.07,0.0,9.035676464954225E-5,7.22854117196338E-6,0.01,2.66,0.88,0.15,3928.43,9463.95,Madiha,C:\\Users\\Saad\\Documents\\NetBeansProjects\\Tool\\src\\com\\tool\\csv\\LongParameterListMethodDeclaration.java,
195.0,187.0,559355.0,129,10,0,186.0,2868.0,1077.0,16,210128.0,0.04,0.0,3.32525855673052E-4,1.430218734077643E-5,0.09,2.66,0.95,0.09,1123.68,1628.9,,C:\\Users\\Saad\\Documents\\NetBeansProjects\\Tool\\src\\com\\tool\\csv\\MainFrame.java,
48.0,44.0,560250.0,15,0,0,41.0,11671.0,4383.0,11,210394.0,0.08,0.0,7.318161535029005E-5,7.1396697902722E-6,0.01,2.66,0.85,0.25,4781.68,14026.27,Waseem,C:\\Users\\Saad\\Documents\\NetBeansProjects\\Tool\\src\\com\\tool\\csv\\Method_Invocation.java,
49.0,44.0,561036.0,17,0,0,37.0,11449.0,4300.0,9,210739.0,0.1,0.0,6.59494221404687E-5,8.912084073036312E-6,0.01,2.66,0.76,0.2,4789.52,12396.41,Waseem,C:\\Users\\Saad\\Documents\\NetBeansProjects\\Tool\\src\\com\\tool\\csv\\package_get.java,
36.0,33.0,561807.0,14,1,0,30.0,15605.0,5859.0,9,210944.0,0.08,0.0,5.339912105046751E-5,5.339912105046751E-6,0.01,2.66,0.83,0.27,6392.24,15067.43,Saad,C:\\Users\\Saad\\Documents\\NetBeansProjects\\Tool\\src\\com\\tool\\csv\\SearchDirectories.java,
39.0,36.0,562324.0,11,0,0,33.0,14418.0,5413.0,8,211130.0,0.08,0.0,5.8685028560047236E-5,5.33500259636793E-6,0.01,2.66,0.85,0.22,5864.72,19193.64,Bilal,C:\\Users\\Saad\\Documents\\NetBeansProjects\\Tool\\src\\com\\tool\\csv\\SelectClassFiles.java,
28.0,26.0,562775.0,8,0,2,23.0,20099.0,7544.0,8,211250.0,0.07,3.5538181333570254E-6,4.086890853360579E-5,3.5538181333570254E-6,0.01,2.66,0.82,0.31,8125.0,26406.25,Madiha,C:\\Users\\Saad\\Documents\\NetBeansProjects\\Tool\\src\\com\\tool\\csv\\SimpleNameLister.java,
100.0,87.0,565650.0,24,0,0,84.0,5656.0,2121.0,26,212184.0,0.13,0.0,1.485017236807213E-4,2.2982409617254488E-5,0.05,2.67,0.84,0.3,2438.9,8841.0,Saad,C:\\Users\\Saad\\Documents\\NetBeansProjects\\Tool\\src\\com\\tool\\csv\\test.java,
